No,A カテゴリ,B カテゴリ,機種コード,Cカテゴリ　[中古機械情報百貨店],,,,
,,,'03-02-03,両頭フライス,70,その他フライス,11,フライス
,,,'03-02-04,生産フライス,65,立生産フライス,11,フライス
,,,'03-02-05,万能フライス,66,万能フライス,11,フライス
,,,'03-02-06,キー溝フライス,67,キー溝フライス,11,フライス
,,,'03-02-07,複合フライス,68,複合フライス,11,フライス
,,,'03-02-08,彫刻機,69,彫刻機,11,フライス
,,,'03-02-99,その他フライス,70,その他フライス,11,フライス
,,研削盤,'03-03-01,平面研削盤,71,平面研削盤,12,研削盤
,,Grinding Machine,'03-03-02,成形研削盤,72,成形研削盤,12,研削盤
,,,'03-03-03,内面研削盤,73,内面研削盤,12,研削盤
,,,'03-03-04,円筒研削盤,74,円筒研削盤,12,研削盤
,,,'03-03-05,ロータリー研削盤,75,ロータリー研削盤,12,研削盤
,,,'03-03-06,ジグ研削盤,76,ジグ研削盤,12,研削盤
,,,'03-03-07,センタレス,77,センタレス,12,研削盤
,,,'03-03-08,工具研削盤,78,工具研削盤,12,研削盤
,,,'03-03-09,ドリル研削盤,79,ドリル研削盤,12,研削盤
,,,'03-03-10,鋸刃研削盤,80,鋸刃研削盤,12,研削盤
,,,'03-03-11,プロファイル研削盤,81,プロファイル研削盤,12,研削盤
,,,'03-03-12,グラインダー(両頭・エアー・パンチ）,82,両頭グラインダー,12,研削盤
,,,'03-03-13,ロール研削盤,83,ロール研削盤,12,研削盤
,,,'03-03-14,ガラス研削盤,85,その他研削盤,12,研削盤
,,,'03-03-15,センター穴研削盤,85,その他研削盤,12,研削盤
,,,'03-03-16,ピン研削盤,84,ピン研削盤,12,研削盤
,,,'03-03-99,その他研削盤,85,その他研削盤,12,研削盤
,,ボール盤,'03-04-01,卓上ボール盤,86,卓上ボール盤,13,ボール盤
,,Drilling Machine,'03-04-02,（450mm～）直立ボール盤,87,直立ボール盤,13,ボール盤
,,,'03-04-03,（600mm～）直立ボール盤,87,直立ボール盤,13,ボール盤
,,,'03-04-04,（700mm～）直立ボール盤 ,87,直立ボール盤,13,ボール盤
,,,'03-04-05,（800mm～ ・不明）直立ボール盤 ,87,直立ボール盤,13,ボール盤
,,,'03-04-06,（0mm～）ラジアルボール盤,88,ラジアルボール盤,13,ボール盤
,,,'03-04-07,（1000mm～）ラジアルボール盤,88,ラジアルボール盤,13,ボール盤
,,,'03-04-08,（1500mm～）ラジアルボール盤,88,ラジアルボール盤,13,ボール盤
,,,'03-04-09,（2000mm～ ・不明）ラジアルボール盤,88,ラジアルボール盤,13,ボール盤
,,,'03-04-10,多軸ボール盤・多軸タッピング,89,多軸ボール盤・多軸タッピング,13,ボール盤
,,,'03-04-11,フリーボール盤,90,フリーボール盤,13,ボール盤
,,,'03-04-12,深穴加工機（ガンドリル）,91,深穴加工機（ガンドリル）,13,ボール盤
,,,'03-04-13,タレットボール盤,92,タレットボール盤,13,ボール盤
,,,'03-04-14,枝型ボール盤,95,その他ボール盤,13,ボール盤
,,,'03-04-15,タッピング,94,タッピング盤,13,ボール盤
,,,'03-04-99,その他ボール盤,95,その他ボール盤,13,ボール盤
,,中ぐり盤,'03-05-01,横中ぐり（フライス）盤,96,横中ぐり盤（フライス）,14,中ぐり盤（フライス）
,,Boring Machine,'03-05-02,ジグ中ぐり盤,97,ジグ中ぐり盤,14,中ぐり盤（フライス）
,,,'03-05-03,立中ぐり（フライス）盤,98,立中ぐり盤（フライス）,14,中ぐり盤（フライス）
,,,'03-05-99,その他中ぐり盤 ,99,その他中ぐり盤,14,中ぐり盤（フライス）
,,削り盤,'03-06-01,プレーナー,100,プレーナー,15,削り盤
,,Planing Machine,'03-06-02,プラノミラー,101,プラノミラー,15,削り盤
,,,'03-06-03,シェーパー,102,シェーパー,15,削り盤
,,,'03-06-04,スロッター,103,スロッタ,15,削り盤
,,,'03-06-05,キーシーター,104,キーシーター,15,削り盤
,,,'03-06-99,その他削り盤,391,その他削り盤,15,削り盤
,,表面仕上盤,'03-07-01,ホーニング,105,ホーニング,16,表面仕上盤
,,Finishing Machine,'03-07-02,ブローチ盤,106,ブローチ盤,16,表面仕上盤
,,,'03-07-03,ラップ盤（ポリシュ盤）,107,ラップ盤（ポリッシュ盤）,16,表面仕上盤
,,,'03-07-04,バレル研磨機,108,バレル研磨機,16,表面仕上盤
,,,'03-07-05,金型研磨機,109,金型研磨機,16,表面仕上盤
,,,'03-07-06,ベルトサンダー,110,ベルトサンダー,16,表面仕上盤
,,,'03-07-07,バフ研磨機,111,バフ研磨機,16,表面仕上盤
,,,'03-07-08,刃物研磨機,112,刃物研磨機,16,表面仕上盤
,,,'03-07-09,ショットブラスト（部材）,113,その他研磨機,16,表面仕上盤
,,,'03-07-99,その他研磨機,113,その他研磨機,16,表面仕上盤
,,歯車加工盤,'03-08-01,ホブ盤,114,ホブ盤,17,歯車加工盤
,,Gear Machine,'03-08-02,ギヤーシェーパー,115,ギアーシェーバー,17,歯車加工盤
,,,'03-08-03,ベベルギアー（傘歯車）歯切盤,116,ベベルギアー（傘歯車）歯切盤,17,歯車加工盤
,,,'03-08-04,歯車研削盤,117,歯車研削盤,17,歯車加工盤
,,,'03-08-05,歯車仕上盤（ギアーシェービング）,118,歯車仕上盤（ギアーシェービング）,17,歯車加工盤
,,,'03-08-06,歯車面取機,119,歯車面取機,17,歯車加工盤
,,,'03-08-07,歯車試験機,120,歯車試験機,17,歯車加工盤
,,,'03-08-08,ラック加工盤,121,ラック加工機,17,歯車加工盤
,,,'03-08-09,ウォーム加工機,122,その他歯車加工機,17,歯車加工盤
,,,'03-08-99,その他歯車加工盤,122,その他歯車加工機,17,歯車加工盤
,,その他工作機械,'03-99-01,センタリング,123,センタリング,18,その他一般工作機械
,,Other Machine Tool,'03-99-02,面取機,124,面取機,18,その他一般工作機械
,,,'03-99-03,(ネジ)転造盤,125,（ネジ）転造盤,18,その他一般工作機械
,,,'03-99-04,スライシングマシン,126,スライシングマシン,18,その他一般工作機械
,,,'03-99-99,その他工作機械,127,その他工作機械,18,その他一般工作機械
5,工作機械周辺機器,マシニング用ツーリング,'05-01-01,BT30ツーリング,222,BT30ツーリング,62,マシニング用ツーリング
,Accessory for Machine Tools,Machining Center Tooling,'05-01-02,BT40ツーリング,223,BT40ツーリング,62,マシニング用ツーリング
,,,'05-01-03,BT50ツーリング,224,BT50ツーリング,62,マシニング用ツーリング
,,,'05-01-04,HSKチャック,225,HSKチャック,62,マシニング用ツーリング
,,,'05-01-99,その他マシニングツール,226,その他マシニングツール,62,マシニング用ツーリング
,,汎用機用ツーリング,'05-02-01,ミーリング用ツーリング,227,ミーリング用ツーリング,63,汎用機用ツーリング
,,Conventional Machine Tools Tooling,'05-02-02,ドリル（タッパー）用ツーリング,228,ドリル（タッパー）用ツーリング,63,汎用機用ツーリング
,,,'05-02-03,ボーリング用ツーリング ,229,ボーリング用ツーリング ,63,汎用機用ツーリング
,,,'05-02-04,スピンドル,230,スピンドル,63,汎用機用ツーリング
,,,'05-02-05,ナット,231,ナット,63,汎用機用ツーリング
,,,'05-02-99,その他汎用機ツーリング,232,その他汎用機ツーリング,63,汎用機用ツーリング
,,切削工具,'05-03-01,旋盤ツール,233,旋盤ツール,64,切削工具
,,Cutting Tools,'05-03-02,ドリル,234,ドリル,64,切削工具
,,,'05-03-03,タッパー,235,タッパー,64,切削工具
,,,'05-03-04,フライスカッター（エンドミル・フルバック・フェイスミル）,236,フライスカッター（エンドミル・フルバック・フェイスミル）,64,切削工具
,,,'05-03-99,その他切削工具,237,その他切削工具,64,切削工具
,,ワーク用チャック,'05-04-01,旋盤チャック,238,旋盤チャック,65,ワーク用チャック
,,Work Chuck,'05-04-02,マグネットチャック,239,マグネットチャック,65,ワーク用チャック
,,,'05-04-99,その他チャック,240,その他チャック,65,ワーク用チャック
,,各種テーブル,'05-05-01,ロータリーテーブル,241,ロータリーテーブル,66,各種テーブル
,,Table,'05-05-02,クロステーブル,242,クロステーブル,66,各種テーブル
,,,'05-05-03,傾斜テーブル（チルチィングテーブル）,243,傾斜テーブル（チルチィングテーブル）,66,各種テーブル
,,,'05-05-04,インデックステーブル（割出台）,244,インデックステーブル（割出台）,66,各種テーブル
,,,'05-05-99,その他テーブル,245,その他テーブル,66,各種テーブル
,,その他工作機械周辺機器 ,'05-99-01,オートバーフィーダー,246,オートバーフィーダー,29,工作機械周辺機器
,,Other Accessories for Machine Tool ,'05-99-02,パーツフィーダー,247,パーツフィーダー,29,工作機械周辺機器
,,,'05-99-03,チップコンベア,248,チップコンベア,29,工作機械周辺機器
,,,'05-99-04,ツールプリセッター,249,ツールプリセッター,29,工作機械周辺機器
,,,'05-99-05,砥石関連装置,250,砥石関連装置,29,工作機械周辺機器
,,,'05-99-06,脱磁器,251,脱磁器,29,工作機械周辺機器
,,,'05-99-07,クランプ装置,252,クランプ装置,29,工作機械周辺機器
,,,'05-99-08,オイルミスト装置,253,オイルミスト装置,29,工作機械周辺機器
,,,'05-99-09,CAD/CAM,254,CAD/CAM,29,工作機械周辺機器
,,,'05-99-10,防振台,255,防振台,29,工作機械周辺機器
,,,'05-99-11,ツールキャビネット・作業台,256,ツールキャビネット・作業台,29,工作機械周辺機器
,,,'05-99-12,工具類,257,工具類,29,工作機械周辺機器
,,,'05-99-13,自動プロ,258,自動プロ,29,工作機械周辺機器
,,,'05-99-14,脱油機,259,脱油機,29,工作機械周辺機器
